image_id,region_index,scene_id,domain
case1,0,case1,real_csig
case1,1,case1,real_csig
case1,2,case1,real_csig
case1,3,case1,real_csig
case1,4,case1,real_csig
case1,5,case1,real_csig
case1,6,case1,real_csig
case1,7,case1,real_csig
case1,8,case1,real_csig
case1,9,case1,real_csig
case1,10,case1,real_csig
case1,11,case1,real_csig
case1,12,case1,real_csig
case1,13,case1,real_csig
case1,14,case1,real_csig
case1,15,case1,real_csig
case1,16,case1,real_csig
case1,17,case1,real_csig
case1,18,case1,real_csig
case1,19,case1,real_csig
case1,20,case1,real_csig
case1,21,case1,real_csig
case1,22,case1,real_csig
case1,23,case1,real_csig
case1,24,case1,real_csig
case1,25,case1,real_csig
case1,26,case1,real_csig
case1,27,case1,real_csig
case1,28,case1,real_csig
case1,29,case1,real_csig
case1,30,case1,real_csig
case1,31,case1,real_csig
case1,32,case1,real_csig
case1,33,case1,real_csig
case1,34,case1,real_csig
case1,35,case1,real_csig
case1,36,case1,real_csig
case1,37,case1,real_csig
case1,38,case1,real_csig
case1,39,case1,real_csig
case1,40,case1,real_csig
case1,41,case1,real_csig
case1,42,case1,real_csig
case1,43,case1,real_csig
case1,44,case1,real_csig
case1,45,case1,real_csig
case1,46,case1,real_csig
case1,47,case1,real_csig
case1,48,case1,real_csig
case1,49,case1,real_csig
case1,50,case1,real_csig
case1,51,case1,real_csig
case1,52,case1,real_csig
case1,53,case1,real_csig
case1,54,case1,real_csig
case1,55,case1,real_csig
case1,56,case1,real_csig
case1,57,case1,real_csig
case1,58,case1,real_csig
case1,59,case1,real_csig
case1,60,case1,real_csig
case1,61,case1,real_csig
case1,62,case1,real_csig
case1,63,case1,real_csig
case1,64,case1,real_csig
case1,65,case1,real_csig
case1,66,case1,real_csig
case1,67,case1,real_csig
case1,68,case1,real_csig
case1,69,case1,real_csig
case1,70,case1,real_csig
case1,71,case1,real_csig
case1,72,case1,real_csig
case1,73,case1,real_csig
case1,74,case1,real_csig
case1,75,case1,real_csig
case1,76,case1,real_csig
case1,77,case1,real_csig
case1,78,case1,real_csig
case1,79,case1,real_csig
case1,80,case1,real_csig
case1,81,case1,real_csig
case1,82,case1,real_csig
case1,83,case1,real_csig
case1,84,case1,real_csig
case1,85,case1,real_csig
case1,86,case1,real_csig
case1,87,case1,real_csig
case1,88,case1,real_csig
case1,89,case1,real_csig
case1,90,case1,real_csig
case1,91,case1,real_csig
case1,92,case1,real_csig
case1,93,case1,real_csig
case1,94,case1,real_csig
case1,95,case1,real_csig
case1,96,case1,real_csig
case1,97,case1,real_csig
case1,98,case1,real_csig
case1,99,case1,real_csig
case1,100,case1,real_csig
case1,101,case1,real_csig
case1,102,case1,real_csig
case1,103,case1,real_csig
case1,104,case1,real_csig
case1,105,case1,real_csig
case1,106,case1,real_csig
case1,107,case1,real_csig
case1,108,case1,real_csig
case1,109,case1,real_csig
case1,110,case1,real_csig
case1,111,case1,real_csig
case1,112,case1,real_csig
case1,113,case1,real_csig
case1,114,case1,real_csig
case1,115,case1,real_csig
case1,116,case1,real_csig
case1,117,case1,real_csig
case1,118,case1,real_csig
case1,119,case1,real_csig
case1,120,case1,real_csig
case1,121,case1,real_csig
case1,122,case1,real_csig
case1,123,case1,real_csig
case1,124,case1,real_csig
case1,125,case1,real_csig
case1,126,case1,real_csig
case1,127,case1,real_csig
case1,128,case1,real_csig
case1,129,case1,real_csig
case1,130,case1,real_csig
case1,131,case1,real_csig
case1,132,case1,real_csig
case1,133,case1,real_csig
case1,134,case1,real_csig
case1,135,case1,real_csig
case1,136,case1,real_csig
case1,137,case1,real_csig
case1,138,case1,real_csig
case1,139,case1,real_csig
case1,140,case1,real_csig
case1,141,case1,real_csig
case1,142,case1,real_csig
case1,143,case1,real_csig
case1,144,case1,real_csig
case1,145,case1,real_csig
case1,146,case1,real_csig
case1,147,case1,real_csig
case1,148,case1,real_csig
case1,149,case1,real_csig
case1,150,case1,real_csig
case1,151,case1,real_csig
case1,152,case1,real_csig
case1,153,case1,real_csig
case1,154,case1,real_csig
case1,155,case1,real_csig
case1,156,case1,real_csig
case1,157,case1,real_csig
case1,158,case1,real_csig
case1,159,case1,real_csig
case1,160,case1,real_csig
case1,161,case1,real_csig
case1,162,case1,real_csig
case1,163,case1,real_csig
case1,164,case1,real_csig
case1,165,case1,real_csig
case1,166,case1,real_csig
case1,167,case1,real_csig
case1,168,case1,real_csig
case1,169,case1,real_csig
case1,170,case1,real_csig
case1,171,case1,real_csig
case1,172,case1,real_csig
